en_test,zh_test,GOOGLE,BLEU-1,BLEU-2,BLEU-3,BLEU-4,CHRF,CHRF++,TER,ROUGE1-R,ROUGE1-P,ROUGE1-F,ROUGE2-R,ROUGE2-P,ROUGE2-F,ROUGEL-R,ROUGEL-P,ROUGEL-F,BERTSCORE-R,BERTSCORE-P,BERTSCORE-F
"That means hit the ball into the outfield,  it dropped, it didn't get caught,  and whoever tried to throw it to first base didn't get there in time  and the runner was safe.",安打意味着球会被击中并被打入外野， 而且并不会被立刻接杀， 球也不会在跑者成功上到一垒之前 被及时的传回。,这意味着将球击入外场，球掉落，没有被接住，无论谁试图将球扔到一垒，都没有及时到达那里，跑垒者是安全的。,43.137,24.575,13.508,7.118,10.203,8.746,80,0.345,0.37,0.357,0.059,0.065,0.062,0.257,0.281,0.269,0.739,0.733,0.736
Three times out of 10.,十次中有三次安打。,十分之三。,26.96,12.305,8.277,6.317,12,10,66.667,0.167,0.333,0.222,0,0,0,0.167,0.333,0.222,0.567,0.664,0.611
Do you know what they call a 300 hitter  in Major League Baseball?,各位知道棒球大联盟如何评论 这些击球率上了三成的球员吗？,你知道美国职业棒球大联盟中所谓的 300 击球手是什么吗？,44.31,34.54,24.309,18.633,16.008,12.006,74.074,0.438,0.438,0.437,0.2,0.2,0.2,0.438,0.438,0.437,0.723,0.75,0.736
"Good, really good,  maybe an all-star.",很棒，非常棒， 明星球员一般的棒。,很好，真的很好，也许是全明星。,43.657,17.08,10.163,6.725,8.968,7.687,75,0.222,0.25,0.235,0,0,0,0.273,0.273,0.273,0.776,0.77,0.773
Do you know what they call  a 400 baseball hitter?,各位知道他们又是如何称呼一位 击球率有着四成，,你知道400垒棒球击球手是什么吗？,20.903,13.684,7.672,4.929,6.985,5.987,81.818,0.154,0.2,0.174,0,0,0,0.154,0.2,0.174,0.595,0.662,0.627
"That's somebody who hit, by the way,  four times safely out of every 10.",也就是每十次打击 就会打出四个安打的球员吗。,顺便说一下，这个人每 10 次中有 4 次是安全击中的。,34.783,8.891,4.549,2.769,5.556,4.167,104.762,0.214,0.176,0.194,0,0,0,0.214,0.167,0.187,0.645,0.647,0.646
Legendary --  as in Ted Williams legendary --  the last Major League Baseball player  to hit over 400 during a regular season.,是传奇 -- 像泰德. 威廉斯那样的传奇-- 他是棒球大联盟里最后一个在常规赛中 拥有超过四成击球率的球员。,传奇人物——就像特德·威廉姆斯的传奇一样——最后一位在常规赛中击球超过 400 分的美国职业棒球大联盟球员。,64,48.487,35.325,24.749,21.194,15.895,53.191,0.538,0.538,0.538,0.214,0.214,0.214,0.367,0.367,0.367,0.795,0.787,0.791
"Now let's take this back into my world of medicine  where I'm a lot more comfortable,  or perhaps a bit less comfortable  after what I'm going to talk to you about.",现在让我们回到我的世界 - 医疗领域。 这个领域我比较熟悉， 但我接下来要说的 却让我有些困扰。,现在让我们回到我的医学世界，在我要和你们谈论这些之后，我感觉舒服多了，或者可能有点不舒服。,44.444,30.151,24.552,21.443,19.61,16.808,72.093,0.429,0.36,0.391,0.185,0.172,0.179,0.393,0.367,0.379,0.739,0.724,0.731
Suppose you have appendicitis  and you're referred to a surgeon  who's batting 400 on appendectomies.,假设你得了阑尾炎， 然后你被推荐给了一位 在阑尾移除手术中有着四成“击球率”的外科医生。,假设您患有阑尾炎，您被转介给一位外科医生，他正在为阑尾切除术支付 400 美元。,49.378,32.784,22.038,15.308,16.069,12.052,64.286,0.36,0.474,0.409,0.038,0.05,0.043,0.296,0.381,0.333,0.775,0.816,0.795
"Somehow this isn't working out, is it?",这听起来怪怪的，对吧？,不知怎的，这行不通，是吗？,30.769,16.013,10.524,7.347,6.517,5.586,100,0.375,0.333,0.353,0,0,0,0.375,0.3,0.333,0.696,0.693,0.694
Now suppose you live  in a certain part of a certain remote place  and you have a loved one  who has blockages in two coronary arteries  and your family doctor refers that loved one to a cardiologist  who's batting 200 on angioplasties.,又假设你住在 某一个较为偏远的地区， 而你所爱的人的 两条冠状动脉都被堵塞。 你的家庭医生将她推荐给了一位在血管成形手术上 有着两成“击球率”的心脏科医师。,现在假设您住在某个偏远地区的某个地方，并且您的亲人两条冠状动脉发生阻塞，您的家庭医生将您的亲人转介给心脏病专家，后者正在花费 200 美元进行血管成形术。,52.055,37.063,27.712,21.479,18.271,13.703,63.014,0.293,0.387,0.333,0.083,0.108,0.094,0.286,0.341,0.311,0.791,0.816,0.803
"But, but, you know what?",但是，等等，你知道吗？,但是，但是，你知道吗？,81.818,75.679,68.269,58.773,48.352,41.445,18.182,0.857,1,0.923,0.714,0.833,0.769,0.875,0.875,0.875,0.895,0.956,0.924
She's doing a lot better this year. She's on the comeback trail.,她今年的表现有着很大的提高，她的水准也在恢复。,今年她的表现好多了。她正走在复出之路上。,43.035,27.925,15.507,9.857,12.768,10.944,73.913,0.462,0.462,0.462,0.133,0.143,0.138,0.375,0.4,0.387,0.741,0.742,0.742
And she's hitting a 257.,她的“击球率”达到了两成五。,她的成绩是257。,21.022,11.353,7.798,5.746,9.491,8.135,78.571,0.273,0.5,0.353,0.1,0.2,0.133,0.273,0.5,0.353,0.64,0.731,0.682
Somehow this isn't working.,但是这样还是不能被接受。,不知怎的，这不起作用。,24.903,10.663,6.607,4.504,4.545,3.896,83.333,0.143,0.143,0.143,0,0,0,0.143,0.143,0.143,0.646,0.638,0.642
But I'm going to ask you a question.,而我现在想问各位一个问题。,但我要问你一个问题。,51.857,41.321,36.199,31.654,32.864,28.169,46.154,0.556,0.625,0.588,0.25,0.286,0.267,0.556,0.625,0.588,0.819,0.886,0.851
"What do you think a batting average  for a cardiac surgeon or a nurse practitioner  or an orthopedic surgeon,  an OBGYN, a paramedic  is supposed to be?",你们认为， 一位心脏外科医生，或一位职业护理师， 一位骨科外科医生 妇产科医生或急救人员的 “击球率” 应该是多少？,您认为心脏外科医生、护士、整形外科医生、妇产科医生、护理人员的成功率应该是多少？,52.383,45.144,37.856,31.248,34.519,29.588,49.057,0.375,0.6,0.462,0.179,0.294,0.222,0.333,0.5,0.4,0.789,0.867,0.826
"1,000, very good.",十成？非常好。,1000，非常好。,56.432,53.536,49.503,43.013,21.197,18.169,42.857,0.6,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.822,0.862,0.842
"Now truth of the matter is,  nobody knows in all of medicine  what a good surgeon  or physician or paramedic  is supposed to bat.",事实上， 医学界中没有人知道 一个好的外科医生， 医师或急救人员 应该有多少的 “击球率”。,现在的事实是，在整个医学领域，没有人知道一个好的外科医生、内科医生或护理人员应该做什么。,61.364,49.254,42.189,37.675,33.615,28.813,58.537,0.478,0.478,0.478,0.25,0.25,0.25,0.44,0.44,0.44,0.798,0.81,0.804
"What we do though is we send each one of them, including myself,  out into the world  with the admonition, be perfect.",我们将他们每个人，包括我自己， 送上职业岗位后 便告诫他们以完美来要求自己 --,但我们所做的就是把他们每一个人，包括我自己，送到这个世界上，告诫他们要完美。,60.526,51.16,43.084,36.77,31.663,27.14,61.111,0.45,0.391,0.419,0.273,0.24,0.255,0.478,0.423,0.449,0.814,0.794,0.804
"Never ever, ever make a mistake,  but you worry about the details, about how that's going to happen.",绝对，绝对不能作出错误的诊断 -- 但我们让他们自己考虑细节，考虑如何达到这样的标准。,永远、永远不要犯错误，但你会担心细节，担心错误会如何发生。,25.957,15.93,8.632,5.394,9.32,7.989,77.5,0.3,0.429,0.353,0.043,0.059,0.05,0.25,0.333,0.286,0.698,0.763,0.729
And that was the message that I absorbed  when I was in med school.,这就是我在医学院时 得到的信息。,这就是我在医学院时吸收的信息。,86.667,82.52,77.828,72.416,63.043,54.037,13.333,0.9,0.9,0.9,0.778,0.778,0.778,0.9,0.9,0.9,0.952,0.951,0.951
I was an obsessive compulsive student.,我是一个有着强迫症倾向的学生。,我是一个有强迫症的学生。,77.88,70.445,61.437,49.533,47.942,41.093,20,0.778,0.875,0.824,0.5,0.571,0.533,0.778,0.875,0.824,0.933,0.982,0.957
"In high school, a classmate once said  that Brian Goldman would study for a blood test.",在中学时，有个同学曾经说 布莱恩.高德曼会为了血液测验复习。,高中时，一位同学曾经说过布莱恩·戈德曼会为了验血而学习。,75.815,57.02,43.876,33.793,29.045,24.896,37.931,0.529,0.5,0.514,0.25,0.235,0.242,0.529,0.5,0.514,0.886,0.891,0.889
And so I did.,而我的确这么做了。,我也这么做了。,64.412,56.806,52.596,48.354,49.286,42.245,33.333,0.714,0.833,0.769,0.5,0.6,0.545,0.714,0.833,0.769,0.841,0.914,0.876
"And I studied in my little garret  at the nurses' residence at Toronto General Hospital,  not far from here.",我在离这不远处的多伦多总医院里 护士住宅里的一个小阁楼中， 完成了我的学业。,我在离这里不远的多伦多综合医院护士住所的小阁楼里学习。,61.038,44.928,32.621,21.337,27.279,23.382,44.444,0.5,0.625,0.556,0.174,0.25,0.205,0.417,0.588,0.488,0.837,0.89,0.863
And I memorized everything.,我背下了所有东西。,我记住了一切。,32.206,14.202,9.117,6.495,7.143,6.122,66.667,0.5,0.6,0.545,0,0,0,0.5,0.6,0.545,0.759,0.798,0.778
"I memorized in my anatomy class  the origins and exertions of every muscle,  every branch of every artery that came off the aorta,  differential diagnoses obscure and common.",我背下了解剖课中 提到的每一块肌肉的起端和伸展方式， 每一条从主动脉延伸出来的动脉的分支系统， 以及一切鲜为人知的或者常见的鉴别诊断。,我在解剖课上记住了每块肌肉的起源和作用，从主动脉伸出的每条动脉的每一个分支，以及模糊和常见的鉴别诊断。,59.264,46.953,37.397,28.669,31.485,26.987,46.875,0.548,0.63,0.586,0.243,0.29,0.265,0.5,0.594,0.543,0.827,0.873,0.849
I even knew the differential diagnosis  in how to classify renal tubular acidosis.,我甚至知道如何鉴别诊断 不同的肾小管性酸中毒症。,我什至知道肾小管性酸中毒如何分类的鉴别诊断。,82.526,67.128,55.639,45.62,39.709,34.036,30.435,0.692,0.818,0.75,0.25,0.3,0.273,0.385,0.455,0.417,0.832,0.847,0.839
"And all the while,  I was amassing more and more knowledge.",在这段时间中， 我积累了越来越多的知识。,一直以来，我都在积累越来越多的知识。,68.319,58.493,49.511,44.23,41.274,35.378,42.105,0.692,0.75,0.72,0.417,0.455,0.435,0.615,0.667,0.64,0.848,0.855,0.852
"And I did well, I graduated with honors,  And I came out of medical school  with the impression  that if I memorized everything and knew everything,  or as much as possible,  as close to everything as possible,  that it would immunize me against making mistakes.",我的表现很好， 并以优等的成绩毕业。 当我从医学院出来时， 我觉得 我只要记下和明白了所有的东西 – 或者稍退一步 – 将近所有的东西， 那我犯医疗错误的几率就会微乎其微。,我做得很好，以优异的成绩毕业，从医学院毕业时，我的印象是，如果我记住所有内容并了解所有内容，或者尽可能多地了解所有内容，那么我就不会犯错误。,50.412,34.496,22.296,14.557,16.348,14.013,63.636,0.421,0.533,0.471,0.163,0.2,0.18,0.404,0.467,0.433,0.767,0.807,0.786
"for a while,  until I met Mrs. Drucker.",而我在一段时间之内 的确没有犯错。 直到我遇到了 Drucker 女士。,有一段时间，直到我遇到了德鲁克夫人。,42.745,35.913,31.418,26.985,33.312,28.553,65.385,0.429,0.6,0.5,0.2,0.333,0.25,0.375,0.6,0.462,0.745,0.811,0.777
I was a resident at a teaching hospital here in Toronto  when Mrs. Drucker was brought to the emergency department  of the hospital where I was working.,Drucker 女士被带入多伦多的 一家教学医院的急诊室时， 我正作为一个实习医生在那里工作。,当德鲁克夫人被带到我工作的医院的急诊室时，我是多伦多一家教学医院的住院医师。,60.526,51.16,44.352,39.735,34.564,29.627,57.895,0.571,0.667,0.615,0.333,0.35,0.341,0.409,0.409,0.409,0.822,0.841,0.831
At the time I was assigned to the cardiology service  on a cardiology rotation.,当时我正因心脏科轮调 而被指派在心血管诊所。,当时我被分配到心脏病学服务中心进行心脏病学轮换。,37.5,22.116,13.052,8.53,9.181,7.87,80.952,0.333,0.4,0.364,0.091,0.1,0.095,0.333,0.364,0.348,0.793,0.785,0.789
"And it was my job,  when the emergency staff called for a cardiology consult,  to see that patient in emerg.",我的工作是， 当紧急救护人员需要有关于心脏的专业会诊时， 在急症室诊断病人，,当急救人员要求心脏病科会诊时，我的工作就是去急诊室看望那个病人。,60.672,41.559,27.29,18.754,20.206,17.32,55.556,0.45,0.5,0.474,0.182,0.235,0.205,0.261,0.333,0.293,0.787,0.807,0.797
and to report back to my attending.,并在之后向负责我的主治医生汇报。,并向我的主治报告。,40.838,26.525,20.981,16.307,28.604,24.518,56.25,0.5,0.714,0.588,0.111,0.167,0.133,0.5,0.714,0.588,0.718,0.84,0.774
"And I saw Mrs. Drucker, and she was breathless.",当我见到Drucker女士的时候，她的气息已经很微弱。,我看到了德鲁克夫人，她气喘吁吁。,27.436,11.568,7.045,4.71,7.361,6.31,71.429,0.286,0.444,0.348,0.071,0.125,0.091,0.267,0.444,0.333,0.701,0.735,0.718
"And when I listened to her, she was making a wheezy sound.",在我与她交谈时，我听到她的呼吸有喘息的声音。,当我听她说话时，她发出喘息的声音。,52.602,41.412,32.421,27.16,31.025,26.593,50,0.571,0.667,0.615,0.25,0.333,0.286,0.529,0.692,0.6,0.848,0.877,0.862
"And when I listened to her chest with a stethoscope,  I could hear crackly sounds on both sides  that told me that she was in congestive heart failure.",当我用听诊器聆听她的胸腔时， 两边都传来的爆裂的声音告诉我， 这是郁血性心脏衰竭。,当我用听诊器听她的胸部时，我能听到两侧有噼啪的声音，这告诉我她患有充血性心力衰竭。,65.854,54.437,42.355,29.905,25.867,22.172,43.59,0.5,0.5,0.5,0.28,0.28,0.28,0.5,0.5,0.5,0.856,0.857,0.857
"This is a condition in which the heart fails,  and instead of being able to pump all the blood forward,  some of the blood backs up into the lung, the lungs fill up with blood,  and that's why you have shortness of breath.",这是由于心脏在衰竭后， 无法将所有的血液完全的输送出去， 而导致部分血液回流入肺脏。肺脏里充满了血液， 而造成呼吸短促。,这是一种心脏衰竭的情况，无法将所有血液向前泵送，而是部分血液回流到肺部，肺部充满血液，这就是呼吸短促的原因。,64.816,49.289,36.497,28.186,25.85,22.157,43.86,0.5,0.56,0.528,0.176,0.194,0.185,0.472,0.531,0.5,0.826,0.833,0.829
And that wasn't a difficult diagnosis to make.,这不是一个困难的诊断。,这并不是一个困难的诊断。,91.667,86.603,84.343,82.652,79.615,68.242,9.091,1,0.875,0.933,0.833,0.714,0.769,1,0.875,0.933,0.987,0.969,0.978
I made it and I set to work treating her.,作出诊断后我开始着手帮她治疗。,我做到了，并开始治疗她。,45.43,25.363,13.581,8.58,12.753,10.931,66.667,0.5,0.556,0.526,0,0,0,0.4,0.444,0.421,0.767,0.788,0.778
I gave her aspirin. I gave her medications to relieve the strain on her heart.,我开给了她阿司匹林，并给了她一些可以减轻她心脏负担的药物。,我给了她阿司匹林。我给她服用药物来缓解她心脏的压力。,58.259,43.229,34.657,28.34,27.823,23.848,48.276,0.533,0.615,0.571,0.25,0.25,0.25,0.526,0.556,0.541,0.849,0.874,0.861
"I gave her medications that we call diuretics, water pills,  to get her to pee out the access fluid.",我还给了她一些利尿剂，俗称水丸， 帮助她将体内多余的水分排出。,我给她服用了我们称之为利尿剂、水丸的药物，让她将通路中的液体排出。,54.545,31.98,18.756,10.24,13.291,11.392,73.333,0.588,0.5,0.541,0.111,0.095,0.103,0.526,0.455,0.488,0.825,0.8,0.812
"And over the course of the next hour and a half or two,  she started to feel better.",在接下来的一两个小时里， 她开始觉得好转，,在接下来的一个半小时或两个小时里，她开始感觉好多了。,65.385,58.31,53.813,49.693,42.996,36.854,50,0.727,0.533,0.615,0.545,0.4,0.462,0.667,0.5,0.571,0.891,0.849,0.869
And I felt really good.,我也感到高兴。,我感觉非常好。,42.857,18.898,12.132,8.643,7.143,6.122,71.429,0.5,0.4,0.444,0,0,0,0.5,0.4,0.444,0.701,0.706,0.703
And that's when I made my first mistake;  I sent her home.,而就在此时我犯了第一个错误： 我让她回了家。,就在那时我犯了第一个错误；我送她回家。,75.797,64.57,53.662,47.789,47.65,40.843,23.81,0.6,0.692,0.643,0.267,0.333,0.296,0.562,0.692,0.621,0.906,0.928,0.917
"Actually, I made two more mistakes.",正确的来说，我还犯了两个错误。,事实上，我还犯了两个错误。,65.954,65.125,64.188,63.12,70.636,60.545,33.333,0.727,0.889,0.8,0.7,0.875,0.778,0.727,0.889,0.8,0.858,0.901,0.879
I sent her home  without speaking to my attending.,我在和我的主治汇报之前 便让她回了家。,我没有和我的主治医生说话就送她回家。,55.556,44.281,33.251,26.46,21.679,18.582,50,0.357,0.455,0.4,0.143,0.182,0.16,0.4,0.5,0.444,0.793,0.798,0.796
"I didn't pick up the phone and do what I was supposed to do,  which was call my attending and run the story by him  so he would have a chance to see her for himself.",我没有做我照着我应该做的， 拿起电话打给我的主治并让他看一下这个案例， 给他一个亲自见见这名病患的机会。,我没有拿起电话，做我应该做的事情，那就是给我的主治打电话，由他来报道这个故事，这样他就有机会亲眼见到她。,59.615,43.247,32.289,24.21,20.56,17.623,62,0.556,0.536,0.545,0.286,0.286,0.286,0.5,0.5,0.5,0.779,0.779,0.779
"And he knew her,  he would have been able to furnish additional information about her.",我的主治认识她， 因此可以提供更详细的病历资料。,而且他认识她，他本来能够提供有关她的更多信息。,39.13,26.673,18.923,13.567,11.973,10.262,69.565,0.5,0.5,0.5,0.143,0.133,0.138,0.4,0.375,0.387,0.743,0.744,0.743
Maybe I did it for a good reason.,或许我有这么做的理由。,也许我这样做是有充分理由的。,64.286,31.449,16.032,9.837,13.278,11.381,63.636,0.75,0.6,0.667,0,0,0,0.5,0.4,0.444,0.878,0.81,0.842
Maybe I didn't want to be a high-maintenance resident.,或许我并不想做一个需要经常地指导的实习医生。,也许我不想成为一个难伺候的居民。,34.364,21.734,10.506,6.257,11.667,10,68.182,0.385,0.5,0.435,0,0,0,0.385,0.5,0.435,0.752,0.824,0.787
Maybe I wanted to be so successful  and so able to take responsibility  that I would do so  and I would be able to take care of my attending's patients  without even having to contact him.,也许我太想 可以独当一面， 可以不需要 和我的主治沟通 便照顾好他的病患。,也许我想要如此成功并能够承担责任，以至于我会这样做，并且我将能够照顾我的主治医生的患者，甚至无需联系他。,34.615,20.18,13.469,8.403,9.07,7.774,124.242,0.389,0.292,0.333,0.053,0.034,0.042,0.3,0.2,0.24,0.742,0.689,0.714
The second mistake that I made was worse.,而我犯的第二个错误更加严重。,我犯的第二个错误更严重。,84.648,80.709,76.123,70.635,76.203,65.317,14.286,0.556,0.714,0.625,0.375,0.5,0.429,0.556,0.714,0.625,0.932,0.98,0.956
"In sending her home,  I disregarded a little voice deep down inside  that was trying to tell me,  ""Goldman, not a good idea. Don't do this.""",在让她回家时， 我忽视了我内心一个微小的声音。 这个声音试图告诉我： “高德曼，这样不好，不要这么做。”,在送她回家时，我无视内心深处的一个小声音，它试图告诉我：“戈德曼，这不是一个好主意。不要这样做。”,79.592,60.398,46.555,36.396,31.401,26.915,38.776,0.667,0.621,0.643,0.312,0.303,0.308,0.545,0.529,0.537,0.884,0.866,0.875
"In fact, so lacking in confidence was I  that I actually asked the nurse  who was looking after Mrs. Drucker,  ""Do you think it's okay if she goes home?""",其实，当时的我是如此的没有自信， 以至于我甚至向照顾Drucker女士 的护士寻求了意见： “你觉得让她回家好么？”,事实上，我是如此缺乏信心，以至于我竟然问照顾德鲁克夫人的护士：“你认为她回家可以吗？”,50.568,39.633,29.873,20.421,20.572,17.633,59.184,0.5,0.6,0.545,0.273,0.346,0.305,0.5,0.63,0.557,0.823,0.858,0.841
"And the nurse thought about it  and said very matter-of-factly, ""Yeah, I think she'll do okay.""",那位护士想了想， 然后就事论事的说：“嗯，我觉得没有问题。”,护士想了想，很实事求是地说：“是的，我想她会没事的。”,58.468,45.697,33.849,25.903,24.528,21.024,55.172,0.556,0.588,0.571,0.368,0.35,0.359,0.55,0.524,0.537,0.823,0.816,0.819
I can remember that like it was yesterday.,这一切对我来说，都还像是发生在了昨天。,我记得那件事就像昨天一样。,29.091,12.361,7.593,5.125,9.081,7.784,84.211,0.214,0.375,0.273,0,0,0,0.214,0.375,0.273,0.675,0.717,0.695
"So I signed the discharge papers,  and an ambulance came, paramedics came to take her home.",我在出院单上签了名， 一辆救护车来后急救人员将她送回了家。,所以我签署了出院文件，救护车来了，护理人员来接她回家。,60.674,36.732,21.829,14.296,16.368,14.03,60.714,0.389,0.5,0.437,0,0,0,0.316,0.375,0.343,0.814,0.824,0.819
And I went back to my work on the wards.,之后我回到了我在诊所的工作。,然后我又回到病房继续工作。,49.859,39.229,23.486,15.649,16.045,13.753,57.143,0.444,0.5,0.471,0.111,0.143,0.125,0.4,0.5,0.444,0.802,0.801,0.802
"All the rest of that day,  that afternoon,  I had this kind of gnawing feeling inside my stomach.",在接下来的一天中， 那天下午， 我的肠胃有着一种翻滚的感觉。,那天下午剩下的时间里，我的胃里一直有一种痛苦的感觉。,64.105,46.227,34.545,24.003,22.46,19.251,50,0.533,0.533,0.533,0.294,0.312,0.303,0.5,0.529,0.514,0.825,0.819,0.822
But I carried on with my work.,但我还是照常的继续工作。,但我继续我的工作。,63.692,47.769,28.585,19.325,25.529,21.882,41.667,0.75,1,0.857,0.286,0.333,0.308,0.625,0.714,0.667,0.779,0.848,0.812
"And at the end of the day, I packed up to leave the hospital  and walked to the parking lot  to take my car and drive home  when I did something that I don't usually do.",在工作结束后，我整理了下便离开了医院。 在我走向停车场 去取我的车的路程中， 我做了一件我平常不会做的事情。,一天结束时，我收拾好行李离开医院，步行到停车场取车开车回家，做了一些我平时不做的事情。,48.269,35.22,23.244,15.111,18.142,15.55,50.98,0.44,0.458,0.449,0.143,0.185,0.161,0.378,0.5,0.431,0.802,0.823,0.812
I walked through the emergency department on my way home.,我从急诊室借了道。,我在回家的路上经过急诊室。,38.462,25.318,17.995,13.065,10.703,9.174,100,0.429,0.375,0.4,0,0,0,0.429,0.375,0.4,0.778,0.71,0.743
"And it was there that another nurse,  not the nurse who was looking after Mrs. Drucker before, but another nurse,  said three words to me  that are the three words  that most emergency physicians I know dread.",而就在那里，另外一位护士， 不是之前照顾Drucker女士的那位， 对我说了 绝大部分急诊医生 都害怕听到的三个字。,就在那里，另一位护士，不是以前照顾德鲁克夫人的护士，而是另一位护士，对我说了三个词，这是我认识的大多数急诊医生都害怕的三个词。,58.73,48.664,41.938,35.555,29.29,25.106,64.583,0.679,0.655,0.667,0.467,0.389,0.424,0.71,0.524,0.603,0.874,0.849,0.862
"Others in medicine dread them as well,  but there's something particular about emergency medicine  because we see patients so fleetingly.",其他科系的医生也害怕这三个字， 但因为急诊医生看的病人都来去匆匆， 这三个字对我们有着特别的意义。,医学界的其他人也害怕它们，但急诊医学有一些特殊之处，因为我们见到病人的时间非常短暂。,48.616,30.78,16.141,8.318,13.619,11.673,68.085,0.435,0.435,0.435,0.074,0.083,0.078,0.333,0.4,0.364,0.717,0.748,0.732
The three words are:  Do you remember?,这三个字是： 记得吗？,这三个字是：你还记得吗？,83.333,77.85,71.377,63.405,49.965,42.827,20,1,0.8,0.889,0.857,0.667,0.75,1,0.8,0.889,0.965,0.911,0.937
"""Do you remember that patient you sent home?""",“记得吗？你送回家的那个患者？”,“你还记得你送回家的那个病人吗？”,76.471,65.586,52.34,44.989,39.061,33.481,37.5,0.909,0.833,0.87,0.545,0.5,0.522,0.75,0.692,0.72,0.905,0.891,0.898
the other nurse asked matter-of-factly.,那位护士就事论事的问道。,另一个护士实事求是地问道。,46.154,33.968,21.89,15.133,13.374,11.464,58.333,0.5,0.429,0.462,0.2,0.167,0.182,0.5,0.429,0.462,0.853,0.841,0.847
"""Well she's back,""  in just that tone of voice.",“她又回来了。” 她就用了这样平常的语调。,“嗯，她回来了。”就是这样的语气。,64.099,44.887,32.325,25.219,25.991,22.278,40,0.615,0.667,0.64,0.2,0.25,0.222,0.562,0.692,0.621,0.831,0.866,0.848
Well she was back all right.,她的确回来了。,还好她平安回来了。,55.556,45.644,39.045,31.56,23.049,19.756,57.143,0.8,0.667,0.727,0.5,0.4,0.444,0.8,0.667,0.727,0.832,0.756,0.792
She was back and near death.,回来时已经濒临死亡。,她回来了，而且已经快要死了。,42.857,25.678,14.006,8.889,9.707,8.32,80,0.5,0.333,0.4,0,0,0,0.5,0.3,0.375,0.779,0.726,0.751
"About an hour after she had arrived home,  after I'd sent her home,  she collapsed and her family called 911  and the paramedics brought her back to the emergency department  where she had a blood pressure of 50,  which is in severe shock.",在我让她回家后 大约一个小时后， 她昏倒在了地上，她的家人打了911， 急救人员将她重新带回了急诊室。 此时的她已严重休克， 血压只有 50。,我送她回家后，她到家大约一个小时后，她倒下了，她的家人拨打了 911，护理人员将她带回急诊室，她的血压为 50，处于严重休克状态。,72.541,57.704,47.252,38.285,34.355,25.766,43.548,0.645,0.69,0.667,0.31,0.361,0.333,0.591,0.619,0.605,0.863,0.885,0.874
And she was barely breathing and she was blue.,她的呼吸极其微弱，面色发青。,她几乎没有呼吸，脸色发青。,56.982,41.938,30.937,22.883,20.509,17.579,50,0.556,0.625,0.588,0.125,0.143,0.133,0.556,0.625,0.588,0.842,0.857,0.85
And the emerg. staff pulled out all the stops.,急救人员们使出了浑身解数。,还有新兴的。工作人员使出浑身解数。,52.941,44.557,34.115,27.443,22.07,18.917,76.923,0.429,0.429,0.429,0.167,0.143,0.154,0.429,0.375,0.4,0.851,0.783,0.816
They gave her medications to raise her blood pressure.,他们给了她提升血压的药物，,他们给她服用了升高血压的药物。,73.333,56.061,45.9,35.631,28.786,24.674,38.462,0.667,0.6,0.632,0.25,0.222,0.235,0.556,0.5,0.526,0.936,0.9,0.917
They put her on a ventilator.,并将她连接上了人工呼吸器。,他们给她戴上了呼吸机。,45.477,27.538,15.201,9.781,12.424,10.649,61.538,0.444,0.5,0.471,0.125,0.143,0.133,0.444,0.5,0.471,0.782,0.815,0.798
And I was shocked  and shaken to the core.,我震惊不已， 吓得不得了。,我感到震惊和震惊。,31.846,16.889,11.344,8.125,9.491,8.135,75,0.375,0.6,0.462,0,0,0,0.375,0.5,0.429,0.678,0.785,0.728
"And I went through this roller coaster,  because after they stabilized her,  she went to the intensive care unit,  and I hoped against hope that she would recover.",之后我的心情便像是做着云霄飞车一般， 因为当他们将她的情况稳定下来后， 便将她送进了加护病房， 我在绝望中希望她能够醒过来。,我经历了这个过山车，因为在他们稳定了她的情况后，她去了重症监护室，我希望她能康复。,42.454,28.654,18.932,12.318,18.99,16.277,62.712,0.387,0.571,0.462,0.162,0.222,0.187,0.41,0.571,0.478,0.752,0.817,0.784
"And over the next two or three days,  it was clear that she was never going to wake up.",但在接下来的两三天中， 她再也不会醒来的可能性越来越大。,在接下来的两三天里，很明显她永远不会醒来。,53.677,44.909,39.962,35.557,39.858,34.164,55.556,0.571,0.615,0.593,0.214,0.25,0.231,0.533,0.615,0.571,0.792,0.874,0.831
She had irreversible brain damage.,她的脑部已经受到了无法逆转的损伤。,她的脑部受到了不可逆转的损伤。,75.848,68.858,60.681,50.528,45.576,39.065,23.529,0.7,0.875,0.778,0.5,0.625,0.556,0.727,0.889,0.8,0.914,0.953,0.933
And the family gathered.,她的家人聚在了一起。,一家人聚集在一起。,69.599,55.803,43.019,27.758,26.058,22.336,40,0.375,0.6,0.462,0.143,0.25,0.182,0.375,0.6,0.462,0.831,0.873,0.852
"And over the course of the next eight or nine days,  they resigned themselves to what was happening.",在接下来的八到九天里， 他们慢慢的接受了这件事实。,在接下来的八、九天里，他们对所发生的事情屈服了。,66.667,53.838,47.237,41.658,34.268,29.372,45.833,0.643,0.562,0.6,0.357,0.312,0.333,0.667,0.588,0.625,0.834,0.83,0.832
