en_test,zh_test,M2M100,BLEU-1,BLEU-2,BLEU-3,BLEU-4,CHRF,CHRF++,TER,ROUGE1-R,ROUGE1-P,ROUGE1-F,ROUGE2-R,ROUGE2-P,ROUGE2-F,ROUGEL-R,ROUGEL-P,ROUGEL-F,BERTSCORE-R,BERTSCORE-P,BERTSCORE-F
"I would want to quit,  but my father,  he would say,  ""Listen, my daughter,  you can lose everything you own in your life.",我想过要放弃， 但我的父亲 这时就会说 “听着，我的女儿， 你可能失去你生命中的任何东西。,"我想放弃,但我的父亲,他会说,“听,我的女儿,你可以失去你所有的一切在你的生活中。",63.415,47.112,32.443,22.786,20.733,17.771,51.22,0.56,0.667,0.609,0.233,0.233,0.233,0.562,0.562,0.562,0.825,0.841,0.833
Your money can be stolen. You can be forced to leave your home during a war.,你的钱可能被偷，你可能因战争而背井离乡。,"你的钱可以被偷走,你可能被迫在战争期间离开你的家。",52,41.633,31.122,19.24,17.878,15.324,65,0.583,0.467,0.519,0.231,0.188,0.207,0.571,0.444,0.5,0.842,0.821,0.831
"But the one thing that will always remain with you  is what is here,  and if we have to sell our blood to pay your school fees,  we will.",而你唯一能够守护住的东西 就是这里， 如果我们不得不靠卖血来支付你的学费， 我们会毫不犹豫。,"但永远留在你身边的一件事就是这里的东西,如果我们必须出售我们的血液来支付你的学费,我们会。",55.556,44.947,37.248,29.313,24.017,20.586,62.791,0.5,0.5,0.5,0.28,0.25,0.264,0.5,0.448,0.473,0.777,0.799,0.788
"So do you still not want to continue?""",即便如此你还是不想继续吗？”,“你还不想继续吗?”,53.626,44.688,36.889,31.313,36.382,31.185,42.857,0.625,0.625,0.625,0.286,0.286,0.286,0.625,0.625,0.625,0.78,0.907,0.839
Today I am 22.,如今我22岁。,今天我22岁。,83.333,70.711,62.996,53.728,49.286,42.245,33.333,0.8,0.8,0.8,0.75,0.75,0.75,0.8,0.8,0.8,0.91,0.917,0.914
I was raised in a country that has been destroyed  by decades of war.,我所成长的国家被几十年的 战争所摧毁。,我在一个被几十年的战争摧毁的国家长大了。,75,59.604,49.107,40.856,35.219,30.188,44.444,0.8,0.667,0.727,0.364,0.333,0.348,0.583,0.538,0.56,0.837,0.813,0.825
"Fewer than six percent of women my age have made it beyond high school,  and had my family not been so committed to my education,  I would be one of them.",我这个年龄的女性中，高中毕业的人数不到6%， 如果不是我家人的坚持， 我也会像绝大多数人一样。,"我的六分之六的妇女已经在高中毕业,如果我的家人不那么致力于我的教育,我会是其中之一。",46.553,22.991,13.501,8.755,11.627,9.966,68.889,0.227,0.25,0.238,0,0,0,0.25,0.269,0.259,0.677,0.695,0.686
"Instead, I stand here a proud graduate of Middlebury College.",而如今我已经是一名自豪的明德学院的毕业生,"相反,我站在这里是Middlebury College的骄傲毕业生。",29.828,17.72,12.065,8.507,4.61,3.951,80,0.364,0.308,0.333,0,0,0,0.333,0.308,0.32,0.661,0.666,0.664
"When I returned to Afghanistan, my grandfather,  the one exiled from his home for daring to educate his daughters,  was among the first to congratulate me.",当我回到阿富汗时，我的祖父， 那位因让女儿接受教育而被逐出家门的老人， 最先向我表示了祝贺。,"当我回到阿富汗时,我的祖父,因为他勇敢教育他的女儿而被驱逐出家,是第一个祝贺我。",61.077,47.616,36.49,29.058,28.018,24.016,50,0.542,0.619,0.578,0.25,0.269,0.259,0.448,0.481,0.464,0.801,0.832,0.816
"He not only brags about my college degree,  but also that I was the first woman,  and that I am the first woman  to drive him through the streets of Kabul.",他骄傲的不仅仅是因为我的大学学历， 也是因为在女性中，我是第一个， 在女性中，我是第一个 开车带他在喀布尔的大街兜风的人。,"他不只是说我的大学学位,而且我也是第一个女人,也是第一个女人,让他穿过喀布尔的街道。",45.547,32.597,25.373,19.449,23.128,19.824,58.621,0.409,0.474,0.439,0.129,0.174,0.148,0.342,0.464,0.394,0.741,0.804,0.771
My family believes in me.,我的家人很信任我。,我的家人相信我。,77.218,62.402,48.566,37.708,32.996,28.282,22.222,0.667,0.8,0.727,0.5,0.6,0.545,0.714,0.833,0.769,0.892,0.929,0.91
"I dream big, but my family dreams even bigger for me.",我的梦想很大，但他们对我的期待甚至更高。,"我梦想很大,但我的家庭梦想对我来说更大。",55,38.044,25.241,17.538,16.385,14.044,60,0.583,0.636,0.609,0.25,0.231,0.24,0.5,0.5,0.5,0.78,0.812,0.796
"That's why I am a global ambassador for 10x10,  a global campaign to educate women.","这就是我成为 ""10x10"" 的全球大使的原因， 这是一个致力于女性教育的全球组织。","这就是为什么我是10×10的全球大使,一个全球妇女教育运动。",51.695,36.283,24.945,17.578,23.356,20.02,57.143,0.5,0.562,0.529,0.15,0.176,0.162,0.409,0.5,0.45,0.785,0.828,0.806
"That's why I cofounded SOLA,  the first and perhaps only boarding school  for girls in Afghanistan,  a country where it's still risky for girls to go to school.",那也是我参与创立 SOLA 的原因， 这是第一所，可能也是阿富汗唯一一所 寄宿女校， 因为在阿富汗，让女孩接受教育依然十分危险。,"这就是为什么我共同创立了SOLA,这是阿富汗女孩的第一个,也许唯一的登陆学校,一个女孩仍然面临上学的风险。",44.346,26.878,13.872,8.425,14.625,12.536,76.786,0.321,0.375,0.346,0,0,0,0.235,0.276,0.254,0.751,0.748,0.749
The exciting thing is that I see students at my school  with ambition grabbing at opportunity.,让我兴奋的是，我看见我学校中的学生 能够把握机遇，志向远大。,"令人兴奋的是,我看到我的学校的学生雄心勃勃地抓住机会。",48.15,34.696,23.76,15.094,15.824,13.563,58.621,0.375,0.5,0.429,0.105,0.143,0.121,0.4,0.533,0.457,0.824,0.832,0.828
"And I see their parents and their fathers  who, like my own, advocate for them,  despite and even in the face of daunting opposition.",我看见她们的双亲，尤其是她们的父亲， 就像我父亲那样支持她们， 尽管从他们脸上也看出了畏惧。,"我看见他们的父母和他们的父亲,他们像我自己一样为他们辩护,尽管甚至在激烈的反对面前。",43.134,30.047,18.621,11.209,12.876,11.036,68.182,0.364,0.4,0.381,0.111,0.12,0.115,0.31,0.333,0.321,0.767,0.767,0.767
"Like Ahmed. That's not his real name,  and I cannot show you his face,  but Ahmed is the father of one of my students.",比如艾哈迈德，这不是真名， 我也不能让你们看见他的长相， 他是我一个学生的父亲。,"像艾哈迈德一样,这不是他的真实名字,我不能向你展示他的面孔,但艾哈迈德是我学生之一的父亲。",55.556,38.925,26.021,17.019,16.536,14.174,68.421,0.55,0.5,0.524,0.208,0.185,0.196,0.52,0.448,0.481,0.812,0.81,0.811
"Less than a month ago, he and his daughter  were on their way from SOLA to their village,  and they literally missed being killed  by a roadside bomb by minutes.",不到一个月前，他和他女儿 在从学校回村里的路上 他们差一点就被 路边炸弹炸死。,"不到一个月前,他和他的女儿在从索拉到他们的村庄的路上,他们字面上错过了几分钟被街头炸弹杀死。",52.174,41.703,31.622,23.288,20.032,17.17,61.111,0.636,0.609,0.622,0.318,0.259,0.286,0.652,0.536,0.588,0.854,0.793,0.823
"As he arrived home, the phone rang,  a voice warning him  that if he sent his daughter back to school,  they would try again.",他到家时，电话响了， 一个声音警告他 如果他再将女儿送去学校， 刚才的事情就会再次发生。,"当他回家时,电话响起,一个声音警告他,如果他把女儿送回学校,他们会再次尝试。",60.795,49.289,38.287,27.747,26.724,22.906,43.902,0.391,0.45,0.419,0.154,0.167,0.16,0.407,0.44,0.423,0.853,0.883,0.868
"""Kill me now, if you wish,"" he said,  ""but I will not ruin my daughter's future  because of your old and backward ideas.""",“如果你想，现在就可以杀了我。”他说， “但我不会因你落后的思想 而毁了我女儿的未来。”,"“你现在杀了我,如果你愿意的话,”他说,“但我不会因为你的旧想法而破坏我女儿的未来。",69.048,55.058,44.97,35.744,30.361,26.024,45.238,0.68,0.708,0.694,0.387,0.387,0.387,0.618,0.656,0.636,0.868,0.873,0.87
"What I've come to realize about Afghanistan,  and this is something that is often dismissed in the West,  that behind most of us who succeed  is a father who recognizes the value in his daughter  and who sees that her success is his success.",对于阿富汗，我意识到 ——这是西方国家也不曾意识到的—— 即在我们成功的背后 是一个这样的父亲——他能认识到自己女儿的价值， 也明白女儿的成功，就是他自己的成功。,"关于阿富汗,我已经意识到,这在西方经常被拒绝的东西,我们大多数人的背后是成功的父亲,他认识到女儿的价值,他看到她的成功是他的成功。",55.002,43.102,32.499,21.903,23.117,19.815,52.703,0.548,0.586,0.567,0.217,0.244,0.23,0.462,0.545,0.5,0.779,0.804,0.791
It's not to say that our mothers aren't key in our success.,这并不是说母亲们对于我们的成功并不重要。,这不是说我们的母亲不是我们成功的关键。,69.906,47.019,29.113,16.446,19.797,16.969,45,0.615,0.889,0.727,0.154,0.182,0.167,0.5,0.583,0.538,0.817,0.849,0.832
"In fact, they're often the initial and convincing negotiators  of a bright future for their daughters,  but in the context of a society like in Afghanistan,  we must have the support of men.",事实上，为了女儿的美好未来，她们通常是 最初和最有说服力的交涉者， 但是在像阿富汗这样的社会中， 我们必须有男性的支持。,"事实上,他们往往是他们女儿的明亮未来的初步和令人信服的谈判者,但在阿富汗这样的社会的背景下,我们必须得到男人的支持。",58.621,43.025,34.105,26.656,22.904,19.632,54.386,0.464,0.5,0.481,0.206,0.212,0.209,0.429,0.441,0.435,0.849,0.848,0.848
"Under the Taliban, girls who went to school  numbered in the hundreds --  remember, it was illegal.",在塔利班控制下，去上学的女孩 曾经只有几百人—— 请不要忘了，当时是非法的。,"在塔利班的统治下,去上学的女孩被数成数百个 - 记住,这是非法的。",46.67,39.859,34.75,29.577,27.043,20.282,54.286,0.429,0.529,0.474,0.261,0.316,0.286,0.417,0.5,0.455,0.782,0.828,0.804
"But today, more than three million girls are in school in Afghanistan.",但是今天，阿富汗接受教育的女孩已经超过300万。,"但是,目前,阿富汗有超过300万名女孩在学校。",54.486,42.642,30.138,19.514,26.112,22.381,59.091,0.462,0.5,0.48,0.083,0.083,0.083,0.385,0.385,0.385,0.814,0.833,0.823
Afghanistan looks so different from here in America.,阿富汗与美国有很大不同。,阿富汗看起来与美国看起来不一样。,50,36.515,26.706,16.452,15.159,12.993,66.667,0.571,0.571,0.571,0.167,0.143,0.154,0.571,0.5,0.533,0.844,0.794,0.818
I find that Americans see the fragility in changes.,我发现，美国人能看出我们变化中的脆弱性。,我发现美国人看到变化中的脆弱性。,73.013,64.575,57.039,48.556,53.882,46.185,25,0.667,0.8,0.727,0.455,0.556,0.5,0.667,0.8,0.727,0.898,0.951,0.924
I fear that these changes will not last  much beyond the U.S. troops' withdrawal.,我担心这些变化在美军撤军之后 能够维持多久。,我担心这些变化不会长远超越美国军队撤军。,57.074,44.723,37.528,32.979,30.039,25.748,57.143,0.5,0.545,0.522,0.273,0.3,0.286,0.5,0.545,0.522,0.784,0.819,0.801
"But when I am back in Afghanistan,  when I see the students in my school  and their parents who advocate for them,  who encourage them, I see a promising future  and lasting change.",但是当我回到阿富汗 看见我的学生 以及支持她们 并鼓励她们的父母时，我看到了未来的希望， 也看到这种变化会延续下去。,"但当我回到阿富汗时,当我看到我的学校的学生和他们的父母为他们辩护,鼓励他们时,我看到一个有前途的未来和持久的变化。",56.14,42.48,32.013,23.477,20.872,17.89,66.667,0.5,0.542,0.52,0.219,0.2,0.209,0.485,0.41,0.444,0.812,0.815,0.813
"To me, Afghanistan is a country of hope and boundless possibilities,  and every single day  the girls of SOLA remind me of that.",对我来说，阿富汗充满了希望和无限的可能性， 每一天 在 SOLA 读书的女孩儿都这么提醒着我。,"对于我来说,阿富汗是一个希望和无限的机会的国家,每一天,索拉的女孩都提醒我这一点。",60.976,46.197,35.244,24.246,22.094,18.938,52.5,0.522,0.545,0.533,0.2,0.192,0.196,0.538,0.519,0.528,0.819,0.812,0.816
"Like me, they are dreaming big.",像我一样，她们也有很大的梦想。,"像我一样,他们正在大梦想。",59.359,46.05,36.739,25.535,24.695,21.167,40,0.455,0.556,0.5,0.3,0.375,0.333,0.455,0.556,0.5,0.818,0.857,0.837
Thank you.,谢谢。,谢谢你,66.667,57.735,55.032,0,38.889,29.167,33.333,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.884,0.884,0.884
"I have never, ever forgotten the words of my grandmother  who died in her exile:  ""Son, resist Gaddafi. Fight him.",我永远也不会忘记我那在流亡中去世的祖母 对我说过的话： “孩子，反抗卡扎菲，与他抗争。,"我从来没有,从来没有忘记过在她的流亡中去世的祖母的话:“儿子,抵抗卡扎菲,战斗他。",56.098,41.023,32.561,27.172,23.591,20.221,60.976,0.538,0.636,0.583,0.143,0.16,0.151,0.448,0.481,0.464,0.851,0.847,0.849
"But don't you ever turn  into a Gaddafi-like revolutionary.""",但你千万不要变成 卡扎菲那样的革命者。”,"“但是,你永远不要变成一个像卡扎菲这样的革命者。",62.5,52.129,44.219,35.823,28.685,24.587,52.632,0.636,0.5,0.56,0.3,0.231,0.261,0.636,0.5,0.56,0.923,0.872,0.897
"since the Libyan Revolution broke out,  inspired by the waves of mass mobilization  in both the Tunisian and the Egyptian revolutions.",利比亚革命爆发至今 已有两年， 这次革命受到了突尼斯和埃及革命中 全民积极参与的鼓舞。,"自利比亚革命爆发以来,由突尼斯和埃及革命中的大规模动员波动所启发。",44.12,39.513,36.565,33.883,36.559,31.336,65,0.474,0.5,0.486,0.3,0.333,0.316,0.476,0.526,0.5,0.767,0.798,0.782
I joined forces with many other Libyans inside and outside Libya  to call for a day of rage  and to initiate a revolution against the tyrannical regime of Gaddafi.,我同利比亚国内外的同胞们一起 呼吁民众举行“愤怒日”游行 并开始了反抗卡扎菲专制统治的革命。,"我加入了与许多其他利比亚人在利比亚内外的部队,呼吁一个愤怒的日子,并启动反对卡扎菲的暴君政权的革命。",46,32.135,22.075,12.3,13.499,11.57,79.545,0.391,0.36,0.375,0.087,0.071,0.078,0.375,0.31,0.34,0.777,0.773,0.775
"And there it was, a great revolution.",这是一场伟大的革命运动。,"在那里,发生了一个伟大的革命。",46.667,36.515,31.336,26.76,20.679,17.725,83.333,0.571,0.4,0.471,0.333,0.222,0.267,0.571,0.4,0.471,0.834,0.767,0.799
"Young Libyan women and men were at the forefront  calling for the fall of the regime,  raising slogans of freedom, dignity, social justice.",利比亚的年轻男女站在革命的最前线 要求专制政府下台， 呼喊着自由、尊严、社会公正的口号。,"年轻的利比亚妇女和男子在前面呼吁政权崩溃,举起自由、尊严、社会正义的口号。",59.027,43.152,34.713,28.338,28.089,24.077,54.762,0.455,0.5,0.476,0.25,0.286,0.267,0.4,0.455,0.426,0.827,0.847,0.837
They have shown an exemplary bravery  in confronting the brutal dictatorship of Gaddafi.,他们在同残暴的卡扎菲专政的抗争中 表现出的勇气堪作典范。,他们在面对卡扎菲的残酷独裁时表现出典型的勇气。,58.461,42.267,30.58,15.656,20.829,17.854,55.556,0.533,0.615,0.571,0.188,0.231,0.207,0.529,0.643,0.581,0.802,0.838,0.82
They have shown a great sense of solidarity  from the far east to the far west to the south.,他们展现出来了高度的团结精神， 从东面到西面再到南面，全国的人民都团结在一起。,他们从远东向远西向南表现出极大的团结感。,24.394,14.45,7.784,4.873,14.435,12.373,73.684,0.238,0.385,0.294,0.042,0.083,0.056,0.2,0.385,0.263,0.719,0.787,0.751
"Eventually, after a period of six months of brutal war  and a toll rate of almost 50,000 dead,  we managed to liberate our country and to topple the tyrant.","最终，经过六个月惨烈的战争， 以50,000人死亡为代价， 我们推翻了暴政统治，迎来了国家的自由。","最后,经过六个月的残酷战争和近5万人的税率,我们成功地解放了我们的国家,并击败了暴君。",44.186,29.011,18.33,13.247,13.794,11.824,73.81,0.375,0.409,0.391,0.036,0.037,0.036,0.31,0.321,0.316,0.778,0.802,0.79
"However, Gaddafi left behind a heavy burden,  a legacy of tyranny, corruption and seeds of diversions.",但是，卡扎菲给我们留下沉重负担 他留下专政、腐败的陋习，埋下了分裂的种子。,"然而,卡扎菲留下了一个重的负担,一个暴力遗产,腐败和种子的分歧。",46.883,30.565,14.007,8.041,13.173,11.291,69.444,0.389,0.438,0.412,0,0,0,0.286,0.3,0.293,0.763,0.76,0.761
For four decades Gaddafi's tyrannical regime  destroyed the infrastructure as well as the culture and the moral fabric of Libyan society.,卡扎菲长达40年的专政 破坏了利比亚的基础设施，也破坏了利比亚的文化和道德观念。,"四十年来,卡扎菲的暴君政权摧毁了利比亚社会的基础设施以及文化和道德结构。",55.181,44.032,36.48,28.882,23.891,20.478,63.158,0.5,0.444,0.471,0.176,0.167,0.171,0.429,0.474,0.45,0.859,0.835,0.846
"Aware of the devastation and the challenges,  I was keen among many other women to rebuild the Libyan civil society,  calling for an inclusive and just transition  to democracy and national reconciliation.",我深知卡扎菲独裁所造成的破坏，也深知我们面临的挑战， 我同许多热血女性一起尝试重建利比亚的公民社会， 我们呼吁在利比亚体现宽容与公正的精神 以实现民主和民族间的和解。,"意识到这场灾难和挑战,在许多其他妇女中,我渴望重建利比亚民间社会,呼吁对民主和民族和解进行包容和公平的过渡。",33.182,22.425,15.305,11.481,16.936,14.516,73.75,0.316,0.429,0.364,0.043,0.065,0.052,0.213,0.312,0.253,0.742,0.793,0.767
Almost 200 organizations were established in Benghazi  during and immediately after the fall of Gaddafi --  almost 300 in Tripoli.,在卡扎菲倒台之时及之后 有将近200个组织在班加西成立 而在黎波里有将近300个组织成立。,"在加达菲倒塌后,在孟加拉国建立了近200个组织,而在特里波里则建立了近300个组织。",58.954,41.318,30.262,23.568,28.831,24.712,58.974,0.389,0.368,0.378,0.182,0.174,0.178,0.4,0.37,0.385,0.791,0.794,0.793
"After a period of 33 years in exile, I went back to Libya,  and with unique enthusiasm,  I started organizing workshops  on capacity building, on human development of leadership skills.",在流亡33年后，我回到利比亚 怀着不同寻常的热情， 我着手组织研讨会， 讨论能力建设以及人类发展中领导力培养的问题。,"经过33年的流离失所,我回到利比亚,以独特的热情,我开始组织能力建设,人力发展领导技能研讨会。",56.634,41.136,29.57,21.203,23.527,20.166,55.556,0.481,0.591,0.531,0.172,0.2,0.185,0.419,0.481,0.448,0.777,0.813,0.794
"With an amazing group of women,  I co-founded the Libyan Women's Platform for Peace,  a movement of women, leaders, from different walks of life,  to lobby for the sociopolitical empowerment of women  and to lobby for our right  for equal participation in building democracy and peace.",我和一群了不起的女性一起， 创办了利比亚女性和平平台。 这是一场各行各业女性的运动、领导者的运动。 我们为女性争取参与社会政治生活的权利， 为我们女性争取 平等参与民主与和平建设的权利。,"与一个令人惊叹的妇女团体,我共同创立了利比亚妇女和平平台,一个来自不同生活方式的妇女和领导者的运动,为妇女的社会政治赋权而奋斗,为我们在建立民主和和平方面的平等参与而奋斗。",56.803,37.9,27.901,20.568,18.601,15.944,63.636,0.594,0.543,0.567,0.152,0.149,0.151,0.36,0.353,0.356,0.794,0.776,0.785
"I met a very difficult environment in the pre-elections,  an environment which was increasingly polarized,  an environment which was shaped by the selfish politics of dominance and exclusion.",在大选前，国内的形势非常糟糕， 国内两级分化日益严重， 这是因为我们的政治是自私的，是充满了控制和排斥的。,"在选举前,我遇到了一个非常困难的环境,一个越来越极端的环境,一个由主权和排斥的自私政策形成的环境。",37.225,19.294,11.5,7.506,9.27,7.946,80.392,0.375,0.409,0.391,0.067,0.077,0.071,0.281,0.29,0.286,0.693,0.703,0.698
"I led an initiative by the Libyan Women's Platform for Peace  to lobby for a more inclusive electoral law,  a law that would give every citizen, no matter what your background,  the right to vote and run,  and most importantly to stipulate on political parties  the alternation of male and female candidates vertically and horizontally in their lists,  creating the zipper list.","我在利比亚女性和平平台提出了一项倡议， 呼吁利比亚施行更具包容性的选举法, 让利比亚的每一位公民，无论背景如何， 都有选举和参选的权利， 最重要的是，我呼吁在政党中应当规定 无论在地区间还是在不同级别间， 都由男性和女性轮流担当候选人， 形成交叉式的候选人名单。","我引领了利比亚妇女和平平台的倡议,以寻求更全面的选举法,这将给每个公民,无论你的背景如何,投票和投票权,最重要的是,在政党上规定男性和女性候选人的交换垂直和垂直,在他们的名单上,创建清单。",42.524,31.574,23.27,16.845,20.047,17.184,66.935,0.472,0.568,0.515,0.135,0.169,0.15,0.355,0.443,0.394,0.768,0.786,0.777
"Eventually, our initiative was adopted and successful.",最终，我们的倡议获得了采纳，也取得了成功。,"最终,我们的举措被采用并取得了成功。",56.432,47.412,39.032,31.676,31.159,26.708,42.857,0.583,0.583,0.583,0.308,0.364,0.333,0.5,0.583,0.538,0.864,0.881,0.872
Women won 17.5 percent of the National Congress  in the first elections ever in 52 years.,在利比亚52年来的第一次大选中， 女性在国民议会中赢得了17.5%的席位。,"女性在52年内首次选举中赢得了全国代表大会的17,5%。",50.754,30.801,21.007,13.336,21.286,18.245,62.5,0.471,0.533,0.5,0.158,0.214,0.182,0.35,0.467,0.4,0.768,0.804,0.786
"However, bit by bit, the euphoria of the elections,  and of the revolution as a whole,  was fading out --  for every day we were waking up to the news of violence.",然而，一点一点地， 大选和革命所带来的欢欣喜悦 在我们国家中消失了， 因为每天早上起床，我们都会看到有关暴力行径的新闻。,"然而,选举和整个革命的厄瓜多尔逐渐消失,因为我们每天都在醒来暴力消息。",32.001,18.746,6.573,3.298,13.431,11.513,71.93,0.4,0.632,0.49,0,0,0,0.286,0.5,0.364,0.71,0.776,0.741
One day we wake up to the news  of the desecration of ancient mosques and Sufi tombs.,一天我们看到 亵渎古代清真寺和苏非圣徒墓的新闻。,"有一天,我们醒来到古老的清真寺和苏菲坟墓的废墟的消息。",51.852,37.363,25.587,19.33,17.243,14.779,69.565,0.462,0.4,0.429,0.083,0.062,0.071,0.462,0.353,0.4,0.794,0.782,0.788
On another day we wake up to the news  of the murder of the American ambassador and the attack on the consulate.,另一天我们看到 谋杀美国大使和袭击美国领事馆的新闻。,"另一天,我们醒来了美国大使的谋杀和对领事馆的袭击的消息。",67.857,52.579,37.602,25.537,22.638,19.404,48,0.846,0.688,0.759,0.231,0.176,0.2,0.643,0.5,0.562,0.879,0.841,0.86
On another day we wake up to the news  of the assassination of army officers.,又一天我们看到 暗杀军官的新闻。,"另一天,我们醒来到军官谋杀的消息。",58.824,33.211,15.434,9.001,12.929,11.082,53.333,0.556,0.455,0.5,0,0,0,0.556,0.455,0.5,0.826,0.799,0.812
"And every day, every day we wake up with the rule of the militias  and their continuous violations of human rights of prisoners  and their disrespect of the rule of law.",还有就是，每天我们都处于国民军的统治之下， 都要忍受他们不断侵犯囚犯的人权， 忍受他们对法治的蔑视。,"每一天,每一天,我们都醒来对武装分子的统治,对囚犯人权的不断侵犯和对法治的不尊重。",45.237,33.825,24.574,16.019,17.384,14.901,70.833,0.5,0.55,0.524,0.185,0.2,0.192,0.345,0.357,0.351,0.732,0.78,0.755
"Our society, shaped by a revolutionary mindset,  became more polarized  and has driven away from the ideals and the principles --  freedom, dignity, social justice --  Intolerance, exclusion and revenge  became the icons of the [aftermath] of the revolution.",我们的社会深受武装革命的心态影响， 越来越分化， 也背弃了我们起初秉持的理想和原则， 也就是—— 自由、尊严和社会公正。 偏狭、排斥和报复 成了革命后我们社会的标志。,"我們的社會,由革命思想形成,變得更加極端,從理想和原則 - 自由,尊嚴,社會正義 - 偏離,排斥和復仇成為革命的象徵。",28.032,18.654,12.074,6.902,11.634,8.726,71.053,0.219,0.259,0.237,0.043,0.056,0.049,0.188,0.243,0.212,0.748,0.79,0.768
I am here today not at all to inspire you  with our success story of the zipper list and the elections.,我今天站在这里， 不想用交叉式候选人名单和大选的成功来鼓舞大家。,"我今天在这里,不是为了激励你与我们的成功故事的Zipper列表和选举。",41.913,28.961,20.561,11.17,10.647,9.126,67.742,0.4,0.421,0.41,0.158,0.158,0.158,0.35,0.35,0.35,0.706,0.698,0.702
"I'm rather here today to confess  that we as a nation took the wrong choice, made the wrong decision.",我在这里是要坦白， 我们在推翻卡扎菲政府时所作出的决定是错误的，,"我更愿意今天在这里承认,我们作为一个国家做出错误的选择,做出错误的决定。",38.889,27.889,19.003,10.098,11.285,9.673,90.323,0.438,0.389,0.412,0.158,0.158,0.158,0.35,0.318,0.333,0.715,0.731,0.723
We did not prioritize right.,我们没有认清事情的关键。,我们没有把正确的优先。,49.805,36.937,30.251,23.709,19.878,17.038,50,0.571,0.571,0.571,0.167,0.167,0.167,0.571,0.571,0.571,0.748,0.749,0.749
For elections did not bring peace and stability and security in Libya.,因为选举并没有为利比亚带来和平与稳定。,"对于选举,没有带来和平、稳定和安全在利比亚。",63.636,49.237,33.13,20.916,20.332,17.428,52.632,0.636,0.538,0.583,0.1,0.083,0.091,0.545,0.462,0.5,0.837,0.817,0.827
Did the zipper list and the alternation between female and male candidates  bring peace and national reconciliation?,我们倡导的交叉式候选人名单 为利比亚带来和平，带来民族间的和解了吗？,吉普赛名单和女性和男性候选人之间的交换带来了和平和国家和解吗?,48.388,34.781,15.755,8.995,13.621,10.216,66.667,0.444,0.5,0.471,0,0,0,0.25,0.278,0.263,0.752,0.745,0.748
"No, it didn't.",不，并没有。,"不,没了。",49.124,22.422,15.081,11.51,12,10,50,0.4,0.4,0.4,0,0,0,0.4,0.4,0.4,0.8,0.823,0.811
"What is it, then?",那么，关键的问题到底是什么呢？,那么它是什么呢?,31.265,27.29,21.792,17.139,30.913,26.497,60,0.4,0.667,0.5,0.222,0.4,0.286,0.4,0.667,0.5,0.724,0.875,0.792
"Why does our society continue to be polarized and dominated  with selfish politics of dominance and exclusion, by both men and women?",为什么我们的社会还是分化严重？ 为什么我们的政治在男女都参与的情况下，还是充满了控制和排斥呢？,為什麼我們的社會仍然被男人和女人以自我主宰和排斥的政治所極端化和主宰?,29.212,17.713,11.157,6.309,10.128,7.596,80.435,0.182,0.222,0.2,0.08,0.095,0.087,0.143,0.182,0.16,0.753,0.748,0.75
"Maybe what was missing was not the women only,  but the feminine values of compassion, mercy and inclusion.",也许，我们缺的不只是女性， 而是女性的价值观——同情、怜悯和包容。,"也许缺少的不仅仅是女性,而且是同情、慈悲和包容的女性价值观。",71.722,50.448,32.4,15.58,21.481,18.412,48.387,0.529,0.6,0.562,0.1,0.118,0.108,0.381,0.444,0.41,0.85,0.886,0.868
"Our society needs national dialogue and consensus-building  more than it needed the elections,  which only reinforced polarization and division.",我们的社会需要全国性的对话，建立起全国性的共识， 这对我们的社会来说比选举更为重要， 因为选举只是加重了分化与分裂。,"我们的社会需要国家对话和共识建设,比选举更需要,这只是加强了极端化和分裂。",43.666,32.996,25.587,19.595,28.4,24.343,57.143,0.542,0.65,0.591,0.172,0.227,0.196,0.364,0.522,0.429,0.806,0.86,0.832
"Our society needs the qualitative representation of the feminine  more than it needs the numerical, quantitative representation of the feminine.",我们的社会需要的是女性特质的代表， 这对我们的社会来说比女性在数量上的代表更为重要。,我們的社會需要女性的質量代表性比女性的數量代表性更重要。,47.144,31.429,16.841,8.803,19.338,16.575,56.098,0.278,0.417,0.333,0.045,0.071,0.056,0.308,0.5,0.381,0.802,0.856,0.828
We need to stop acting as agents of rage and calling for days of rage.,我们需要停止愤怒的行径，停止号召“愤怒日”游行。,"我们必须停止作为愤怒的代理人,并呼吁愤怒的日子。",45.833,31.565,16.545,10.19,12.02,10.303,66.667,0.385,0.417,0.4,0.071,0.083,0.077,0.4,0.429,0.414,0.784,0.775,0.779
We need to start acting as agents of compassion and mercy.,我们需要开始表现出同情心和怜悯心。,我們必須開始作為同情和慈悲的代理人。,33.333,14.003,8.494,5.653,6.536,5.602,82.353,0.2,0.2,0.2,0,0,0,0.2,0.2,0.2,0.808,0.79,0.799
"We need to develop a feminine discourse  that not only honors but also implements  mercy instead of revenge, collaboration instead of competition,  inclusion instead of exclusion.",我们需要女性化的话语， 要尊崇并且贯彻同情、合作和包容， 要抛开报复，抛开竞争， 抛开偏狭。,"我們必須發展一個不僅尊重,而且也實現慈悲而不是復仇,合作而不是競爭,包容而不是排斥的女性演講。",23.404,12.355,5.535,3.133,4.988,4.275,100,0.2,0.174,0.186,0,0,0,0.115,0.103,0.109,0.731,0.702,0.716
